wordCount,uniqueWords,numberOfRepeatedWords,ratioOfTotalWordsToUnique,DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,averageSetWordLength,WordsRhymes,RatioOfPOStoWords,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,semantic_similarity,average_word_frequency,avg_word_similarity_hebrew,avg_word_similarity_english,word_similarity_large,MappedStyle
111,58,53,0.522522523,54,8,6.1756398,6.387360701,3.793103448,77,0.072072072,13.64,0,18545.298,3.603603604,873.091,0.637581,0.003564241,0.442492068,0.352439106,0.8807718,0
89,67,22,0.752808989,64,6,6.138242272,6.241681714,4.313432836,52,0.06741573,48.94,3,172647.445,2.247191011,7513.317,0.7402946,0.001354851,0.404433757,0.357336819,0.86230624,0
171,95,76,0.555555556,86,12,6.828479833,6.892003697,4.063157895,312,0.070175439,38.8,5,337466.491,1.169590643,83.22,0.6348468,0.002301069,0.305247188,0.282182097,0.8697374,0
85,55,30,0.647058824,53,8,5.987555518,6.013593648,3.690909091,48,0.094117647,49.45,5,307215.617,2.352941176,23572.72,0.6653325,0.001662031,0.363270134,0.367659509,0.86339283,0
218,82,136,0.376146789,73,8,6.164181743,6.349630117,4.280487805,416,0.036697248,14.595,17,344225.687,5.04587156,18742.82,0.5269627,0.002820817,0.291836381,0.319489509,0.86822754,0
96,74,22,0.770833333,65,9,6.426596235,6.51203566,4.108108108,153,0.09375,60.825,4,484466.166,3.125,70251.289,0.6665622,0.001285173,0.469113082,0.40949437,0.870148,0
88,66,22,0.75,56,9,6.25903545,6.309985685,3.954545455,42,0.102272727,46.41,5,1297592.096,1.136363636,49.02,0.7108106,0.002360285,0.463474542,0.349736273,0.8653174,0
101,40,61,0.396039604,37,9,5.521209565,5.780871772,3.825,123,0.089108911,10.235,1,79059.496,2.97029703,890.049,0.6697892,0.002362052,0.438820004,0.371829391,0.87384826,0
95,69,26,0.726315789,64,9,6.299269703,6.388621177,4.014492754,85,0.094736842,4.62,4,544959.124,2.105263158,275.962,0.6944439,0.002470694,0.432135195,0.380495846,0.873148,0
172,116,56,0.674418605,111,12,7.042035775,7.094627554,4.025862069,216,0.069767442,83.515,14,533305.784,1.744186047,144985.841,0.6635601,0.001300193,0.402381331,0.291228443,0.8649062,0
121,60,61,0.495867769,57,8,5.872423459,5.976839112,4.366666667,302,0.066115702,5.47,10,717658.281,2.479338843,9280.576,0.6312091,0.003262493,0.338624239,0.317600906,0.86718,0
121,69,52,0.570247934,63,7,6.256564762,6.398855158,4.101449275,80,0.05785124,19.745,18,1938160.999,3.305785124,167.967,0.4721083,0.002778262,0.393927544,0.337246746,0.8581427,0
65,29,36,0.446153846,27,7,5.210479297,5.536415836,3.689655172,13,0.107692308,1.96,3,374080.839,3.076923077,11472.512,0.6937502,0.003690593,0.312464088,0.386491954,0.8781064,0
100,55,45,0.55,53,9,5.957343236,6.29048089,3.945454545,14,0.09,6,4,811288.152,4,567.686,0.68031496,0.002479595,0.42422235,0.32632938,0.87979406,0
105,67,38,0.638095238,65,10,6.23539618,6.414655867,3.820895522,83,0.095238095,4.945,1,148445.004,1.904761905,67507.247,0.69698465,0.003059478,0.390990883,0.315844297,0.87455696,0
98,49,49,0.5,46,8,5.85877557,6.133045022,4.346938776,66,0.081632653,47.935,9,334354.528,6.12244898,328481.119,0.61314416,0.00297487,0.384290904,0.317789733,0.87458146,0
43,27,16,0.627906977,27,8,4.862206411,5.076825785,4,14,0.186046512,19.635,2,294176.698,4.651162791,2898.073,0.7972225,0.002636177,0.393308043,0.412291616,0.87248415,0
124,100,24,0.806451613,90,8,6.816418774,6.858975965,4.05,104,0.064516129,9.805,12,848692.942,0.806451613,952.381,0.6121025,0.001068503,0.419083059,0.350870758,0.86535376,0
92,66,26,0.717391304,64,8,6.222080354,6.291853096,3.712121212,49,0.086956522,51.905,6,276885.432,1.086956522,165.837,0.7717931,0.001954026,0.414399534,0.341781199,0.8693342,0
131,75,56,0.572519084,74,9,6.140771467,6.196516015,4.706666667,340,0.06870229,84.565,22,1133951.104,0,0,0.6651963,0.000954739,0.308555812,0.336218387,0.8594456,0
178,87,91,0.488764045,77,10,6.518500448,6.677459601,4.333333333,440,0.056179775,106.77,17,1115255.783,5.056179775,53671.287,0.5554029,0.002296422,0.283075035,0.335015416,0.8639299,0
103,62,41,0.601941748,57,10,6.003986033,6.18519725,3.951612903,43,0.097087379,18.415,19,2353595.216,2.912621359,536986.749,0.71018744,0.003282342,0.420947105,0.356191337,0.8636038,0
84,48,36,0.571428571,44,8,5.869015335,6.01608859,4.791666667,582,0.095238095,43.135,11,642498.026,3.571428571,96031.054,0.48143837,0.001282609,0.371240884,0.370017052,0.8579726,0
101,77,24,0.762376238,71,10,6.42875844,6.528346519,4.181818182,118,0.099009901,56.73,9,1362878.31,1.98019802,16067.883,0.7005432,0.002060404,0.445326328,0.399374276,0.8722215,0
