DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,avg_word_similarity_hebrew,word_similarity_large,MappedStyle
99,8,6.964739486,7.080066492,91.095,4,574378.957,1.923076923,2219.941,0.31087622,0.86553955,0
78,10,6.422307729,6.459431619,4.285,11,890238.834,0,0,0.481680959,0.8648474,0
49,8,5.578184425,5.776946633,4.235,18,1305090.519,3.571428571,1032061.928,0.411424637,0.86611736,0
64,8,6.229097891,6.407326862,7.44,7,980438.807,2.857142857,4721.056,0.387564451,0.8663598,0
59,11,6.108101048,6.273269804,46.635,8,1244376.571,2.325581395,1695.172,0.426161408,0.8658277,0
89,10,6.83222229,6.962216354,78.505,8,216999.633,2.068965517,33872.684,0.387585521,0.86121887,0
69,12,6.337961946,6.416691882,16.095,9,1029503.438,0.943396226,952.381,0.414355069,0.86554444,0
84,11,6.606564017,6.703237661,77.5,9,948748.187,0.78125,85470.085,0.409214854,0.86670274,0
45,8,5.862575938,5.89929089,42.715,9,790585.935,0,0,0.430793822,0.86108476,0
83,8,6.616601685,6.636794399,63.315,3,146197.528,0.854700855,61.728,0.306448013,0.8692394,0
58,9,6.319522263,6.453261521,49.765,6,1028818.63,3.296703297,2342.74,0.42185384,0.8668839,0
66,7,6.164078287,6.202004596,54.54,8,327680.071,0,0,0.43071118,0.8624347,0
87,11,6.758925996,6.900855885,46.55,15,255117.474,1.948051948,4034.93,0.42375347,0.8738284,0
57,11,5.997731826,6.131816735,6.07,3,90050.386,5.113636364,2116.672,0.482376873,0.88487446,0
55,9,6.319951645,6.401211848,59.08,6,652810.518,5.405405405,435.53,0.39383623,0.8745469,0
88,10,6.729392841,6.800225609,101.355,9,224195.252,3.174603175,383976.606,0.40728122,0.8688463,0
68,10,6.568421388,6.747070338,4.895,7,825936.638,2.816901408,239.711,0.396683902,0.87440574,0
70,10,6.540258678,6.71978254,8.61,7,286905.237,3.95480226,70941.14,0.407586783,0.87502444,0
107,10,7.140902402,7.221536523,141.06,12,1564281.377,3.461538462,19598.859,0.40420714,0.866328,0
53,9,6.10375068,6.208184667,3.62,3,152903.116,1.136363636,892.857,0.466011107,0.8679694,0
91,12,6.829979869,6.873557262,6.995,23,2731205.41,0.819672131,61.728,0.31043461,0.8618391,0
117,12,6.819081722,7.03045906,146.375,17,368010.413,1.851851852,13726.119,0.271420181,0.8606961,0
21,5,5.540223929,5.679253219,6.6,10,569240.591,9.836065574,684366.641,0.483424395,0.88688606,0
126,13,7.437730774,7.629535562,12.165,37,493148.054,4.240282686,27550.513,0.283861548,0.8638009,0
